geo_point_2d,geo_shape,latitude,longitude,road_name,installed_year,range,type,date,easting,northing,projection,postcode,pc85th_kmh,volume_12h,volume_24h,comm_vhcl,peakvol,suburb_name,ward_name,gisfid
"-38.1216300043, 145.2924700205","{""coordinates"": [145.2924700205, -38.1216300043], ""type"": ""Point""}",-38.12163000433998,145.29247002046327,ANNABELLA STREET,2022,Between 50km/h and 60km/h,W,2022-08-24,350326,5779314,MGA2020 zone 55,3977,50.5,546,658,3.15,10.27,CRANBOURNE EAST,BALLA BALLA,506
"-38.0790430044, 145.3301540239","{""coordinates"": [145.3301540239, -38.0790430044], ""type"": ""Point""}",-38.079043004383195,145.33015402391797,ALISMA BOULEVARD,2022,Between 50km/h and 60km/h,W,2022-08-24,353544,5784099,MGA2020 zone 55,3977,56.8,2790,3708,2.72,10.85,CRANBOURNE NORTH,SPRINGFIELD,514
"-38.0973230017, 145.2458930241","{""coordinates"": [145.2458930241, -38.0973230017], ""type"": ""Point""}",-38.09732300165752,145.24589302410544,QUARTERS BOULEVARD,2022,Less than 30km/h,W,2022-08-24,346192,5781935,MGA2020 zone 55,3977,27.0,368,402,3.24,16.79,CRANBOURNE WEST,MAYFIELD,517
"-37.9748000045, 145.2722920164","{""coordinates"": [145.2722920164, -37.9748000045], ""type"": ""Point""}",-37.974800004451055,145.27229201636507,HANNA DRIVE,2022,Between 50km/h and 60km/h,W,2022-08-24,348254,5795574,MGA2020 zone 55,3802,54.2,3661,4293,6.0,21.7,ENDEAVOUR HILLS,FOUR OAKS,520
"-38.0443360031, 145.2755090228","{""coordinates"": [145.2755090228, -38.0443360031], ""type"": ""Point""}",-38.044336003082435,145.27550902283042,CORAL DRIVE,2022,Between 50km/h and 60km/h,W,2022-08-24,348680,5787863,MGA2020 zone 55,3976,50.0,3244,4017,4.39,11.94,HAMPTON PARK,RIVER GUM,524
"-37.9833350027, 145.379861039","{""coordinates"": [145.379861039, -37.9833350027], ""type"": ""Point""}",-37.983335002717425,145.37986103900002,CHADWICK ROAD,2022,Between 30km/h and 40km/h,W,2022-08-24,357719,5794797,MGA2020 zone 55,3806,34.9,29,30,3.79,25.0,HARKAWAY,FOUR OAKS,525
"-38.0001050043, 145.3419770172","{""coordinates"": [145.3419770172, -38.0001050043], ""type"": ""Point""}",-38.00010500426863,145.34197701723824,HARKAWAY ROAD,2022,More than 60km/h,W,2022-08-24,354425,5792877,MGA2020 zone 55,3806,65.2,6553,7974,9.8,10.55,HARKAWAY,FOUR OAKS,526
"-38.000949004, 145.3413130166","{""coordinates"": [145.3413130166, -38.000949004], ""type"": ""Point""}",-38.00094900403836,145.3413130165897,HARKAWAY ROAD,2022,Between 50km/h and 60km/h,W,2022-08-24,354369,5792783,MGA2020 zone 55,3806,53.3,8700,10437,3.15,10.83,HARKAWAY,FOUR OAKS,527
"-38.0430330036, 145.3192290407","{""coordinates"": [145.3192290407, -38.0430330036], ""type"": ""Point""}",-38.04303300355481,145.31922904072383,FLEETWOOD DRIVE,2022,Between 50km/h and 60km/h,W,2022-08-24,352514,5788078,MGA2020 zone 55,3805,53.3,2974,3653,2.2,11.66,NARRE WARREN,SPRINGFIELD,531
"-37.9880030038, 145.3005540244","{""coordinates"": [145.3005540244, -37.9880030038], ""type"": ""Point""}",-37.98800300381787,145.30055402442088,LEGERWOOD ROAD,2022,Between 40km/h and 50km/h,W,2022-08-24,350764,5794155,MGA2020 zone 55,3804,45.5,87,117,11.94,9.62,NARRE WARREN NORTH,FOUR OAKS,536
"-38.0706560055, 145.3240710313","{""coordinates"": [145.3240710313, -38.0706560055], ""type"": ""Point""}",-38.07065600550082,145.32407103125678,EMU WAY,2022,Between 50km/h and 60km/h,W,2022-08-24,352994,5785020,MGA2020 zone 55,3805,50.6,258,335,4.01,11.11,NARRE WARREN SOUTH,SPRINGFIELD,537
"-38.2054270028, 145.2311000221","{""coordinates"": [145.2311000221, -38.2054270028], ""type"": ""Point""}",-38.20542700282035,145.2311000221316,QUEENS ROAD,2022,Between 40km/h and 50km/h,W,2022-08-24,345124,5769914,MGA2020 zone 55,3912,46.4,2990,3676,6.67,9.77,PEARCEDALE,BALLA BALLA,538
"-38.2063360025, 145.3771990027","{""coordinates"": [145.3771990027, -38.2063360025], ""type"": ""Point""}",-38.206336002534165,145.37719900268021,SAMBUR ROAD,2022,Between 50km/h and 60km/h,W,2022-08-24,357918,5770047,MGA2020 zone 55,3980,50.6,793,956,13.12,11.12,TOORADIN,BALLA BALLA,540
"-37.9799210052, 145.317196033","{""coordinates"": [145.317196033, -37.9799210052], ""type"": ""Point""}",-37.979921005231034,145.31719603304057,MAIN STREET,2022,Between 50km/h and 60km/h,W,2022-09-08,352209,5795078,MGA2020 zone 55,3804,52.8,1089,1199,5.79,12.07,NARRE WARREN NORTH,FOUR OAKS,544
"-37.9804850052, 145.3162070311","{""coordinates"": [145.3162070311, -37.9804850052], ""type"": ""Point""}",-37.98048500519533,145.31620703107777,MAIN STREET,2022,Between 50km/h and 60km/h,W,2022-09-08,352123,5795014,MGA2020 zone 55,3804,50.3,2674,2939,6.65,11.67,NARRE WARREN NORTH,FOUR OAKS,545
"-38.1112340043, 145.2889920283","{""coordinates"": [145.2889920283, -38.1112340043], ""type"": ""Point""}",-38.11123400428103,145.28899202830806,BAKEWELL STREET,2021,Between 40km/h and 50km/h,W,2021-11-15,350000,5780462,MGA2020 zone 55,3977,42.6,1177,1285,2.59,18.8,CRANBOURNE,MAYFIELD,548
"-38.106868004, 145.2845380326","{""coordinates"": [145.2845380326, -38.106868004], ""type"": ""Point""}",-38.106868003987,145.28453803258424,BRUNT STREET,2021,Between 40km/h and 50km/h,W,2021-11-15,349600,5780939,MGA2020 zone 55,3977,48.2,685,825,2.18,11.96,CRANBOURNE,MAYFIELD,550
"-38.1117990027, 145.2837870184","{""coordinates"": [145.2837870184, -38.1117990027], ""type"": ""Point""}",-38.11179900274891,145.28378701840006,CHILDERS STREET,2021,Between 50km/h and 60km/h,W,2021-11-15,349545,5780391,MGA2020 zone 55,3977,54.9,1525,1799,8.36,10.66,CRANBOURNE,MAYFIELD,551
"-38.112595004, 145.2887990252","{""coordinates"": [145.2887990252, -38.112595004], ""type"": ""Point""}",-38.112595004049304,145.28879902517068,CHILDERS STREET,2021,Less than 30km/h,W,2021-11-15,349986,5780310,MGA2020 zone 55,3977,22.9,876,994,4.56,13.04,CRANBOURNE,MAYFIELD,552
"-38.1250330022, 145.3154440135","{""coordinates"": [145.3154440135, -38.1250330022], ""type"": ""Point""}",-38.12503300223943,145.31544401349726,"CASEY FIELDS INTERNAL ROAD, WEST OF MORISON ROAD",2021,Between 40km/h and 50km/h,W,2021-11-16,352347,5778973,MGA2020 zone 55,3977,49.4,1363,1583,11.7,11.05,CRANBOURNE EAST,BALLA BALLA,567
"-38.0289800018, 145.3362550295","{""coordinates"": [145.3362550295, -38.0289800018], ""type"": ""Point""}",-38.02898000176572,145.33625502950156,WILSON BOTANIC PARK,2021,Between 30km/h and 40km/h,W,2021-11-16,353980,5789664,MGA2020 zone 55,3806,32.6,1166,1342,5.8,11.19,BERWICK,EDRINGTON,568
"-38.0532368982, 145.2987093372","{""coordinates"": [145.2987093372, -38.0532368982], ""type"": ""Point""}",-38.053236898248656,145.29870933718388,OAKGROVE DRIVE,2019,Between 50km/h and 60km/h,W,2019-05-30,350734,5786913,MGA2020 zone 55,3805,54.6,1455,1786,3.7,16.91,NARRE WARREN SOUTH,SPRINGFIELD,570
"-38.0592302019, 145.2462045589","{""coordinates"": [145.2462045589, -38.0592302019], ""type"": ""Point""}",-38.05923020191328,145.24620455889072,WATERBUSH CRESCENT,2019,Between 40km/h and 50km/h,W,2019-11-12,346140,5786162,MGA2020 zone 55,3975,46.7,762,969,8.25,18.75,LYNDHURST,MAYFIELD,571
"-37.9928514577, 145.2917614875","{""coordinates"": [145.2917614875, -37.9928514577], ""type"": ""Point""}",-37.992851457707324,145.29176148745714,DRYSDALE AVENUE,2019,Between 50km/h and 60km/h,W,2019-08-26,350001,5793602,MGA2020 zone 55,3804,50.8,1331,1730,3.9,9.81,NARRE WARREN NORTH,FOUR OAKS,572
"-38.0660930957, 145.3499521813","{""coordinates"": [145.3499521813, -38.0660930957], ""type"": ""Point""}",-38.066093095746055,145.34995218125107,VIEWGRAND DRIVE,2018,Between 50km/h and 60km/h,W,2018-06-23,355255,5785567,MGA2020 zone 55,3806,59.7,1493,1764,5.8,17.69,BERWICK,EDRINGTON,574
"-38.108455754, 145.2961879477","{""coordinates"": [145.2961879477, -38.108455754], ""type"": ""Point""}",-38.10845575398885,145.29618794771645,SCOTSDALE DRIVE,2018,Between 50km/h and 60km/h,W,2018-11-14,350625,5780782,MGA2020 zone 55,3977,56.1,0,2042,9.3,11.16,CRANBOURNE EAST,MAYFIELD,580
"-38.0889869263, 145.2633541273","{""coordinates"": [145.2633541273, -38.0889869263], ""type"": ""Point""}",-38.088986926311414,145.26335412727843,TAPLAN CRESCENT,2019,Between 50km/h and 60km/h,W,2019-05-17,347706,5782889,MGA2020 zone 55,3977,51.0,161,201,3.8,11.94,CRANBOURNE WEST,MAYFIELD,582
"-38.089464122, 145.265336574","{""coordinates"": [145.265336574, -38.089464122], ""type"": ""Point""}",-38.089464122037754,145.26533657400742,CALAIS CIRCUIT,2018,Between 40km/h and 50km/h,W,2018-05-10,347881,5782839,MGA2020 zone 55,3977,44.3,1063,1428,3.93,10.15,CRANBOURNE WEST,MAYFIELD,583
"-38.0897795781, 145.2641277129","{""coordinates"": [145.2641277129, -38.0897795781], ""type"": ""Point""}",-38.08977957812137,145.26412771285752,KULKAMI WAY,2020,Between 40km/h and 50km/h,W,2020-02-13,347775,5782802,MGA2020 zone 55,3977,49.6,884,1232,3.8,10.47,CRANBOURNE WEST,MAYFIELD,585
"-38.0711241641, 145.3460617844","{""coordinates"": [145.3460617844, -38.0711241641], ""type"": ""Point""}",-38.07112416411818,145.34606178437846,INKERMAN STREET,2019,Between 40km/h and 50km/h,W,2019-08-26,354924,5785003,MGA2020 zone 55,3806,41.4,154,191,1.6,12.62,BERWICK,EDRINGTON,588
"-38.0299913061, 145.3105476869","{""coordinates"": [145.3105476869, -38.0299913061], ""type"": ""Point""}",-38.02999130607242,145.31054768688892,SWEENEY DRIVE,2019,Between 40km/h and 50km/h,W,2019-03-19,351726,5789511,MGA2020 zone 55,3805,49.0,794,998,4.0,14.23,NARRE WARREN,SPRINGFIELD,590
"-38.1354317793, 145.2563217531","{""coordinates"": [145.2563217531, -38.1354317793], ""type"": ""Point""}",-38.135431779312405,145.25632175310935,SETTLERS RUN,2018,Between 50km/h and 60km/h,W,2018-05-10,347186,5777723,MGA2020 zone 55,3977,51.6,2288,2850,5.58,8.53,BOTANIC RIDGE,BALLA BALLA,591
"-38.0614566129, 145.3406843811","{""coordinates"": [145.3406843811, -38.0614566129], ""type"": ""Point""}",-38.061456612909396,145.34068438114707,MERIDIAN CIRCUIT,2018,Between 40km/h and 50km/h,W,2018-11-13,354433,5786067,MGA2020 zone 55,3806,41.0,92,126,1.23,12.7,BERWICK,EDRINGTON,593
